#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="coalescent" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize" name="popSize">1.0</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree clusterType="upgma" id="tree" spec="beast.util.ClusterTree">
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="OmegaPrior" name="distribution">
#            <parameter id="m0.omega" name="x">1.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M">-3.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="KappaPrior" name="distribution">
#            <parameter id="m0.kappa" name="x">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.3" name="M">3.0</parameter>
#                <parameter estimate="false" id="RealParameter.4" name="S">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PopSizePrior" name="distribution" x="@popSize">
#            <OneOnX id="OneOnX.1" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution id="treeLikelihood" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@tree">
#            <data data="@alignment" dataType="codon" geneticCode="vertebrateMitochondrial" id="codon.alignment" spec="beast.evolution.alignment.CodonAlignment"/>
#            <siteModel gammaCategoryCount="1" id="siteModel" spec="beast.evolution.sitemodel.SiteModel">
#                <substModel id="m0" kappa="@m0.kappa" omega="@m0.omega" spec="codonmodels.M0Model">
#                    <frequencies data="@codon.alignment" estimate="false" id="m0.freqs" spec="codonmodels.CodonFrequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.m0" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter id="clockRate" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	coalescent	popSize	m0.kappa	m0.omega	clockRate
34000	-1950.6535545705374	-1952.940737251978	2.2871826814404455	3.332349048810211	0.26455634471092965	15.327467914245496	0.06770633417906563	1.0
36000	-1951.8670814727207	-1955.2080228053596	3.3409413326388675	3.86064278197593	0.15471498596122138	16.437215187608196	0.06499558028267008	1.0
38000	-1949.5563158628474	-1953.7634063966068	4.2070905337592865	4.718961320375564	0.10680176758938964	14.94807748816919	0.09182129435881771	1.0
40000	-1952.856937895563	-1957.0648004420732	4.207862546510109	4.723208037683257	0.09271916184254322	11.548192114058763	0.11525124610966894	1.0
42000	-1951.4515564136486	-1954.8690171946628	3.4174607810140385	4.1472063302405235	0.15640346444873554	14.07239948884773	0.08435056488641032	1.0
44000	-1950.282962387484	-1953.1289635997293	2.846001212245226	3.988856784521235	0.20510087298415328	18.573982775163763	0.07835010033403106	1.0
46000	-1948.8313646790295	-1952.674614799474	3.8432501204445946	4.714488726037663	0.1442564127730248	19.883286452364107	0.07920877370759094	1.0
48000	-1951.751509456398	-1956.0736418322324	4.3221323758342844	5.181806864788172	0.17403431161063873	12.645481688780691	0.09091496892322541	1.0
50000	-1951.3058109560693	-1956.1244081749362	4.818597218866937	5.337177158468338	0.10804248973236784	14.013009776148646	0.09489734325668078	1.0
52000	-1949.3887626578294	-1953.1235581555286	3.734795497699213	3.7635284862308116	0.07428946362192555	18.033290881796145	0.07410915993344686	1.0
54000	-1951.1042860149528	-1954.2662718999684	3.1619858850156377	4.46380842551344	0.1546272091388355	24.371145819627483	0.08836352013058985	1.0
56000	-1951.1477180806735	-1953.9807283055952	2.8330102249217277	3.7872961705446118	0.2546404131315041	15.685493842341577	0.06369239015250414	1.0
58000	-1952.629088990586	-1956.8741874523755	4.245098461789428	4.310284661471417	0.17012072736232278	11.50536294164457	0.050291306140870795	1.0
60000	-1952.8697545120938	-1956.4857266224988	3.615972110404939	4.696899285786035	0.1568374393938517	21.779135360191322	0.08123279119097956	1.0
62000	-1950.3272543649312	-1953.6269455216207	3.2996911566895557	4.181180087991158	0.21241129569537764	17.368540388593964	0.06476442682700227	1.0
64000	-1952.5189271576094	-1956.4564535137188	3.937526356109311	4.586764325359466	0.17648614487265668	13.529739875204617	0.0738920905802953	1.0
66000	-1955.5079171627217	-1957.040941878816	1.5330247160942865	3.1428331992381473	0.33917932150653196	21.00972951025874	0.06904593024827209	1.0
